,date_id,iid,match,wave,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,field_cd,age,race,income,zipcode,samerace,goal,from,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,imprace,imprelig,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,zipcode_area,latitude,longitude
0,1-4-10-7,1,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
1,1-3-10-7,1,0,1,60.0,0.0,0.0,40.0,0.0,0.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
2,1-10-10-7,1,1,1,19.0,18.0,19.0,18.0,14.0,12.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,1,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
3,1-5-10-7,1,1,1,30.0,5.0,15.0,40.0,5.0,5.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
4,1-7-10-7,1,1,1,30.0,10.0,20.0,10.0,10.0,20.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
5,1-6-10-7,1,0,1,50.0,0.0,30.0,10.0,0.0,10.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
6,1-1-10-7,1,0,1,35.0,15.0,25.0,10.0,5.0,10.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
7,1-2-10-7,1,0,1,33.33,11.11,11.11,11.11,11.11,22.22,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
8,1-8-10-7,1,1,1,50.0,0.0,25.0,10.0,0.0,15.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
9,1-9-10-7,1,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,4.0,59998.0 and 69998.0,60521,0,2.0,Chicago,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,2.0,4.0,6.0,8.0,8.0,8.0,7.0,605,41.79679730177778,-87.93476914684445
10,1-10-10-3,2,0,1,35.0,20.0,20.0,20.0,0.0,5.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
11,1-9-10-3,2,0,1,60.0,0.0,0.0,40.0,0.0,0.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,1,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
12,1-6-10-3,2,0,1,19.0,18.0,19.0,18.0,14.0,12.0,1.0,24.0,2.0,59998.0 and 69998.0,35223,0,1.0,Alabama,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,45.0,5.0,25.0,20.0,0.0,2.0,5.0,7.0,5.0,8.0,10.0,3.0,352,33.48657039307692,-86.7435797673077
